GROUP;bdate;year.bdate;bday.count;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;18.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546105976.0;0;;;1
1;27.6.1984;1984;287;2807.0;Savinsky;2;1.0;Russia;;1.0;1546106038.0;0;;;1
1;14.9.1984;1984;287;42.0;Voronezh;121;1.0;Russia;;4.0;1546100289.0;0;;;1
1;3.11.1984;1984;287;141.0;Tver;82;1.0;Russia;;1.0;1546093073.0;0;;;1
1;7.1.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546107684.0;0;;;1
1;21.8.1984;1984;287;88.0;Naberezhnye Chelny;64;1.0;Russia;;2.0;1546090905.0;0;;;1
1;20.2.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;4.0;1546109295.0;0;;;1
1;24.2.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;4.0;1546099842.0;0;;;1
1;26.6.1984;1984;287;1057.0;Lviv;210;2.0;Ukraine;;4.0;1518197979.0;0;;;2
1;30.8.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;2.0;1546105515.0;0;;;1
1;14.11.1984;1984;287;223.0;Donetsk;170;2.0;Ukraine;;1.0;1495426483.0;0;;;1
1;13.2.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;7.0;1544468097.0;0;;;1
1;31.7.1984;1984;287;4644.0;Zheleznogorsk;11;1.0;Russia;;4.0;1546108179.0;0;;;1
1;3.7.1984;1984;287;110.0;Perm;154;1.0;Russia;;7.0;1546109387.0;1;;;2
1;15.5.1984;1984;287;177.0;Vyborg;108;1.0;Russia;;4.0;1546103892.0;0;;;1
1;3.5.1984;1984;287;22.0;Arkhangelsk;180;1.0;Russia;;4.0;1546064629.0;0;;;1
1;12.7.1984;1984;287;41.0;Vologda;250;1.0;Russia;;1.0;1543733201.0;0;;;2
1;7.11.1984;1984;287;2070.0;Ustyuzhna;6;1.0;Russia;;4.0;1546103458.0;0;;;1
1;24.6.1984;1984;287;152.0;Ukhta;19;1.0;Russia;;1.0;1546104542.0;0;;;1
1;17.5.1984;1984;287;143.0;Tolyatti;62;1.0;Russia;;2.0;1546106700.0;0;;;1
1;25.9.1984;1984;287;177.0;Vyborg;108;1.0;Russia;;4.0;1546100358.0;0;;;1
1;20.11.1984;1984;287;2980.0;Nytva;1;1.0;Russia;;2.0;1546090604.0;0;;;1
1;20.1.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109452.0;1;2274003;1.0;2
1;30.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109359.0;0;;;1
1;12.5.1984;1984;287;;;0;;;;4.0;1546109119.0;0;;;1
1;25.8.1984;1984;287;1707343.0;Alexandria;11;2.0;Ukraine;;7.0;1544853770.0;0;;;2
1;23.6.1984;1984;287;1059619.0;Pavlovichi;1;1.0;Russia;;2.0;1546097605.0;0;;;1
1;24.1.1984;1984;287;8.0;Cherepovets;165;1.0;Russia;;4.0;1546103456.0;0;;;1
1;17.6.1984;1984;287;10159.0;Oulu;3;207.0;Finland;;7.0;1545522648.0;0;;;2
1;3.7.1984;1984;287;172.0;Severomorsk;41;1.0;Russia;;1.0;1546108210.0;0;;;1
1;17.7.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109420.0;1;2274003;1.0;1
1;2.6.1984;1984;287;248.0;Kirovsk;35;1.0;Russia;;4.0;1546108825.0;0;;;1
1;18.3.1984;1984;287;916.0;Kryvyi Rih;127;2.0;Ukraine;;7.0;1522397251.0;0;;;2
1;20.4.1984;1984;287;56.0;Izhevsk;47;1.0;Russia;;1.0;1546096392.0;0;;;1
1;18.11.1984;1984;287;1050538.0;Ozerki;1;1.0;Russia;;4.0;1546108690.0;0;;;1
1;26.2.1984;1984;287;2508.0;Syasstroy;7;1.0;Russia;;4.0;1546096907.0;0;;;1
1;22.8.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546106832.0;0;;;1
1;8.3.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546100052.0;0;;;2
1;27.7.1984;1984;287;1013936.0;Vysokoe;1;1.0;Russia;;4.0;1429394859.0;0;;;2
1;30.1.1984;1984;287;60.0;Kazan;219;1.0;Russia;;4.0;1546096709.0;0;;;1
1;20.9.1984;1984;287;521.0;Rzhev;9;1.0;Russia;;4.0;1546106892.0;0;;;1
1;5.2.1984;1984;287;280.0;Kharkiv;296;2.0;Ukraine;;7.0;1546070915.0;0;;;2
1;28.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546098257.0;0;;;2
1;10.4.1984;1984;287;75.0;Kursk;36;1.0;Russia;;4.0;1546103174.0;0;;;1
1;17.4.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546107783.0;0;;;1
1;2.11.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;7.0;1449414912.0;0;;;2
1;12.10.1984;1984;287;11103.0;Topchikha;1;1.0;Russia;;7.0;1546062109.0;0;;;2
1;28.10.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546102226.0;0;;;2
1;11.11.1984;1984;287;627.0;Simferopol;114;2.0;Ukraine;;7.0;1424181759.0;0;;;1
1;5.6.1984;1984;287;11.0;Severodvinsk;107;1.0;Russia;;1.0;1546093481.0;0;;;1
1;3.12.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1541942883.0;0;;;1
1;6.8.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;1.0;1546082487.0;0;;;1
1;26.1.1984;1984;287;87.0;Murmansk;246;1.0;Russia;;1.0;1546082248.0;0;;;1
1;1.1.1984;1984;287;1057.0;Lviv;210;2.0;Ukraine;;7.0;1398356498.0;0;;;1
1;1.10.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1544814052.0;0;;;1
1;16.5.1984;1984;287;650.0;Dnipropetrovsk (Dnipro);226;2.0;Ukraine;;7.0;1514809801.0;0;;;2
1;29.4.1984;1984;287;255.0;Inta;3;1.0;Russia;;4.0;1546028431.0;0;;;1
1;11.1.1984;1984;287;6049.0;Ladyzhin;3;2.0;Ukraine;;7.0;1545735719.0;0;;;1
1;25.11.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546089030.0;0;;;1
1;27.3.1984;1984;287;4652.0;Gorodok;2;2.0;Ukraine;;4.0;1505311133.0;0;;;1
1;7.9.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;4.0;1540592277.0;0;;;2
1;29.1.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1546091568.0;0;;;1
1;7.9.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546106930.0;0;;;1
1;23.9.1984;1984;287;3747.0;Gadyach;7;2.0;Ukraine;;4.0;1516546946.0;0;;;2
1;17.12.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;4.0;1529786739.0;0;;;2
1;21.12.1984;1984;287;1508286.0;Sosnovka;2;2.0;Ukraine;;7.0;1546101889.0;0;;;1
1;5.3.1984;1984;287;144.0;Tomsk;19;1.0;Russia;;7.0;1407927431.0;0;;;1
1;5.6.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;4.0;1465112429.0;0;;;1
1;13.8.1984;1984;287;172.0;Severomorsk;41;1.0;Russia;;4.0;1546107042.0;0;;;1
1;4.11.1984;1984;287;1559.0;Ternopol;57;2.0;Ukraine;;4.0;1495167023.0;0;;;1
1;23.5.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;7.0;1440398723.0;0;;;1
1;28.1.1984;1984;287;292.0;Odessa;259;2.0;Ukraine;;7.0;1347187874.0;0;;;2
1;4.3.1984;1984;287;110.0;Perm;154;1.0;Russia;;4.0;1546109121.0;0;;;1
1;24.5.1984;1984;287;;;0;;;;1.0;1508355874.0;0;;;1
1;31.3.1984;1984;287;2106.0;Ivano-Frankovsk;47;2.0;Ukraine;;4.0;1507990118.0;0;;;1
1;8.2.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1525543852.0;0;;;1
1;22.5.1984;1984;287;427.0;Kherson;70;2.0;Ukraine;;4.0;1546097089.0;0;;;1
1;6.9.1984;1984;287;475.0;Bakhchisaray;5;1.0;Russia;;4.0;1546093245.0;0;;;1
1;13.5.1984;1984;287;62.0;Kaluga;13;1.0;Russia;;1.0;1524057460.0;0;;;1
1;18.3.1984;1984;287;972.0;Samarkand;2;18.0;Uzbekistan;;4.0;1546107426.0;0;;;1
1;5.9.1984;1984;287;650.0;Dnipropetrovsk (Dnipro);226;2.0;Ukraine;;7.0;1417352092.0;0;;;2
1;8.3.1984;1984;287;916.0;Kryvyi Rih;127;2.0;Ukraine;;1.0;1545940013.0;0;;;2
1;30.6.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;4.0;1495135693.0;0;;;1
1;20.6.1984;1984;287;916.0;Kryvyi Rih;127;2.0;Ukraine;;4.0;1546024905.0;0;;;2
1;27.6.1984;1984;287;4513.0;Nikopol;19;2.0;Ukraine;;7.0;1534154610.0;0;;;1
1;20.7.1984;1984;287;15356.0;Gribanovsky;1;1.0;Russia;;7.0;1545975477.0;0;;;2
1;7.7.1984;1984;287;78.0;Lipetsk;37;1.0;Russia;;1.0;1463110447.0;0;;;1
1;2.5.1984;1984;287;628.0;Zaporizhia;146;2.0;Ukraine;;1.0;1536228669.0;0;;;1
1;21.4.1984;1984;287;1135.0;Asbest;4;1.0;Russia;;7.0;1380906114.0;0;;;1
1;1.10.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546105919.0;0;;;1
1;8.8.1984;1984;287;1514351.0;Gorodetskoe;1;2.0;Ukraine;;7.0;1494669251.0;0;;;2
1;5.4.1984;1984;287;1512914.0;Gornostaevka;2;2.0;Ukraine;;7.0;1546107150.0;0;;;1
1;21.6.1984;1984;287;14403.0;Kubenskoe;1;1.0;Russia;;2.0;1546109442.0;1;3140623;1.0;1
