GROUP;bdate;year.bdate;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
2;18.4.1987;1987;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546062744.0;0;;;1
2;23.syys;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546104101.0;0;;;1
2;28.tammi;2018;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546109027.0;0;;;1
2;3.elo;2018;1.0;Moscow;2185;1.0;Russia;;7.0;1546109703.0;1;;;1
2;4.maalis;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546087440.0;0;;;2
2;5.marras;2018;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546109444.0;0;;;1
2;26.tammi;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546096984.0;0;;;1
2;28.kesä;2018;49.0;Yekaterinburg;122;1.0;Russia;;7.0;1533532441.0;0;;;2
2;10.marras;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546107880.0;0;;;1
2;22.huhti;2018;2.0;Saint Petersburg;2630;1.0;Russia;;7.0;1546106005.0;0;;;2
2;8.8.1988;1988;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546109501.0;1;3140623;1.0;1
2;14.syys;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546099813.0;0;;;1
2;2.syys;2018;2.0;Saint Petersburg;2630;1.0;Russia;;1.0;1546102800.0;0;;;1
2;8.huhti;2018;;;0;1.0;Russia;;7.0;1546098627.0;0;;;1
2;1.11.1988;1988;2.0;Saint Petersburg;2630;1.0;Russia;;7.0;1546067428.0;0;;;1
2;27.joulu;2018;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546105711.0;0;;;1
2;;1900;2.0;Saint Petersburg;2630;1.0;Russia;;1.0;1545971659.0;0;;;1
2;29.maalis;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546103982.0;0;;;1
2;11.marras;2018;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546098368.0;0;;;1
2;12.touko;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546106823.0;0;;;1
2;22.tammi;2018;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546109714.0;1;2274003;1.0;1
2;11.joulu;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546108483.0;0;;;1
2;30.7.1979;1979;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546095878.0;0;;;1
2;;1900;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546096685.0;0;;;1
2;;1900;;;0;;;banned;;;0;;;2
2;;1900;2.0;Saint Petersburg;2630;1.0;Russia;;1.0;1546109736.0;1;;1.0;1
2;5.elo;2018;;;0;;;;2.0;1546109002.0;0;;;1
2;29.8.1987;1987;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546090284.0;0;;;1
2;22.joulu;2018;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546105603.0;0;;;2
2;15.heinä;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546106098.0;0;;;1
2;17.kesä;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546109724.0;1;3140623;1.0;1
2;3.huhti;2018;;;0;1.0;Russia;;4.0;1546109727.0;1;2274003;1.0;1
2;9.4.1988;1988;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546108278.0;0;;;1
2;9.8.1986;1986;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546109093.0;0;;;1
2;20.kesä;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546075400.0;0;;;1
2;;1900;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546108753.0;0;;;1
2;18.7.1987;1987;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546083809.0;0;;;1
2;21.heinä;2018;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546105864.0;0;;;1
2;14.huhti;2018;2.0;Saint Petersburg;2630;1.0;Russia;;2.0;1546108787.0;0;;;1
2;;1900;2.0;Saint Petersburg;2630;1.0;Russia;;4.0;1546107843.0;0;;;2
