GROUP;bdate;year.bdate;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
3;3.loka;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546096051.0;0;;;1
3;3.1.1986;1986;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546109760.0;1;2274003;1.0;1
3;20.heinä;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546109176.0;0;;;1
3;26.joulu;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546109362.0;0;;;1
3;9.12.1987;1987;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546107698.0;0;;;1
3;28.4.1988;1988;1.0;Moscow;1659;1.0;Russia;;7.0;1393928112.0;0;;;2
3;;1900;;;0;;;banned;;;0;;;1
3;18.4.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546092905.0;0;;;1
3;23.1.1984;1984;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546099306.0;0;;;1
3;14.elo;2018;2.0;Saint Petersburg;4068;1.0;Russia;;7.0;1546107572.0;0;;;1
3;5.marras;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546110044.0;1;2274003;1.0;1
3;14.syys;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546109970.0;1;3140623;1.0;1
3;7.kesä;2018;2.0;Saint Petersburg;4068;1.0;Russia;;7.0;1545844551.0;0;;;1
3;20.10.1984;1984;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546103549.0;0;;;1
3;;1900;;;0;;;deleted;;;0;;;1
3;22.huhti;2018;2.0;Saint Petersburg;4068;1.0;Russia;;7.0;1546106005.0;0;;;2
3;5.11.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546105155.0;0;;;1
3;17.9.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;7.0;1546110034.0;1;;;1
3;3.10.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546078282.0;0;;;1
3;15.huhti;2018;;;0;;;;1.0;1546092875.0;0;;;1
3;4.1.1987;1987;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546107965.0;0;;;1
3;27.elo;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546033749.0;0;;;1
3;16.1.1985;1985;2.0;Saint Petersburg;4068;1.0;Russia;;1.0;1546003106.0;0;;;1
3;10.marras;2018;2.0;Saint Petersburg;4068;1.0;Russia;;1.0;1546085746.0;0;;;1
3;11.3.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546053001.0;0;;;1
3;15.joulu;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546109466.0;0;;;1
3;27.3.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546109732.0;0;;;1
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546108242.0;0;;;1
3;8.5.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546077037.0;0;;;1
3;18.maalis;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546102000.0;0;;;1
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546109812.0;0;;;1
3;14.2.1989;1989;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546107298.0;0;;;1
3;17.marras;2018;2.0;Saint Petersburg;4068;1.0;Russia;;1.0;1546089271.0;0;;;1
3;2.9.1985;1985;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546073815.0;0;;;1
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;7.0;1546107241.0;0;;;1
3;6.touko;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546090378.0;0;;;1
3;28.3.1988;1988;2.0;Saint Petersburg;4068;1.0;Russia;;1.0;1546109859.0;1;;1.0;1
3;3.joulu;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546108403.0;0;;;1
3;3.syys;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546106327.0;0;;;1
3;9.12.1986;1986;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546102633.0;0;;;2
3;3.maalis;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546086209.0;0;;;1
3;23.joulu;2018;2.0;Saint Petersburg;4068;1.0;Russia;;7.0;1546099184.0;0;;;1
3;25.2.1984;1984;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546103084.0;0;;;1
3;29.heinä;2018;;;0;1.0;Russia;;2.0;1546070221.0;0;;;1
3;6.11.1985;1985;2.0;Saint Petersburg;4068;1.0;Russia;;1.0;1546101023.0;0;;;1
3;18.maalis;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546100120.0;0;;;1
3;29.syys;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546107716.0;0;;;1
3;7.marras;2018;;;0;1.0;Russia;;4.0;1546109990.0;1;2274003;1.0;2
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546107939.0;0;;;1
3;1.tammi;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546108579.0;0;;;1
3;18.elo;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546016915.0;0;;;1
3;18.heinä;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546105281.0;0;;;1
3;27.3.1986;1986;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546104734.0;0;;;1
3;8.1.1983;1983;2.0;Saint Petersburg;4068;1.0;Russia;;1.0;1546089539.0;0;;;2
3;8.syys;2018;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546108164.0;0;;;1
3;26.loka;2018;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546091186.0;0;;;1
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546107972.0;0;;;1
3;4.3.1987;1987;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546104974.0;0;;;1
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546110044.0;1;2274003;1.0;1
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546109227.0;0;;;1
3;;1900;;;0;;;banned;;;0;;;2
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;7.0;1546109527.0;0;;;1
3;28.5.1989;1989;;;0;1.0;Russia;;4.0;1546109482.0;0;;;1
3;10.8.1983;1983;2.0;Saint Petersburg;4068;1.0;Russia;;2.0;1546107034.0;0;;;1
3;;1900;2.0;Saint Petersburg;4068;1.0;Russia;;4.0;1546109325.0;0;;;1
