GROUP;bdate;year.bdate;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
2;15.helmi;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546105079.0;0;;;1
2;6.2.1987;1987;60.0;Kazan;139;1.0;Russia;;4.0;1546109728.0;1;2274003;1.0;1
2;12.kesä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1546075670.0;0;;;1
2;28.2.1976;1976;60.0;Kazan;139;1.0;Russia;;2.0;1546107969.0;0;;;1
2;23.touko;2018;60.0;Kazan;139;1.0;Russia;;4.0;1545583078.0;0;;;2
2;12.tammi;2018;60.0;Kazan;139;1.0;Russia;;1.0;1546108030.0;0;;;1
2;7.11.1988;1988;60.0;Kazan;139;1.0;Russia;;4.0;1546103869.0;0;;;1
2;27.huhti;2018;60.0;Kazan;139;1.0;Russia;;2.0;1546109129.0;0;;;2
2;16.tammi;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546108059.0;0;;;1
2;21.huhti;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546109679.0;1;2274003;1.0;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1545070019.0;0;;;1
2;21.heinä;2018;60.0;Kazan;139;1.0;Russia;;2.0;1546058417.0;0;;;1
2;2.loka;2018;60.0;Kazan;139;1.0;Russia;;4.0;1437434296.0;0;;;1
2;2.kesä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1372155369.0;0;;;2
2;25.helmi;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546108312.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;2.0;1546108961.0;0;;;1
2;15.6.1993;1993;60.0;Kazan;139;1.0;Russia;;4.0;1546106774.0;0;;;1
2;3.11.1995;1995;60.0;Kazan;139;1.0;Russia;;7.0;1546108533.0;0;;;2
2;16.10.1994;1994;60.0;Kazan;139;1.0;Russia;;7.0;1366818505.0;0;;;2
2;28.helmi;2018;60.0;Kazan;139;1.0;Russia;;2.0;1546106382.0;0;;;1
2;18.kesä;2018;60.0;Kazan;139;1.0;Russia;;1.0;1546079187.0;0;;;1
2;12.9.1993;1993;60.0;Kazan;139;1.0;Russia;;1.0;1545310284.0;0;;;2
2;18.loka;2018;60.0;Kazan;139;1.0;Russia;;1.0;1546070394.0;0;;;1
2;26.10.1988;1988;60.0;Kazan;139;1.0;Russia;;7.0;1546086466.0;0;;;2
2;11.heinä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1369547242.0;0;;;2
2;16.9.1991;1991;60.0;Kazan;139;1.0;Russia;;4.0;1546091788.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1370263539.0;0;;;1
2;31.heinä;2018;60.0;Kazan;139;1.0;Russia;;2.0;1546104903.0;0;;;2
2;22.joulu;2018;60.0;Kazan;139;1.0;Russia;;7.0;1423412243.0;0;;;2
2;13.marras;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546094507.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1406363881.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;1.0;1546109342.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1373372436.0;0;;;2
2;1.1.1994;1994;60.0;Kazan;139;1.0;Russia;;7.0;1373315642.0;0;;;1
2;22.syys;2018;60.0;Kazan;139;1.0;Russia;;4.0;1543463976.0;0;;;2
2;15.1.2001;2001;60.0;Kazan;139;1.0;Russia;;4.0;1546108064.0;0;;;2
2;3.12.1997;1997;60.0;Kazan;139;1.0;Russia;;4.0;1546109060.0;0;;;2
2;13.joulu;2018;60.0;Kazan;139;1.0;Russia;;7.0;1541885455.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1546096334.0;0;;;1
2;24.1.1995;1995;60.0;Kazan;139;1.0;Russia;;2.0;1546106499.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1539837445.0;0;;;1
2;9.syys;2018;60.0;Kazan;139;1.0;Russia;;2.0;1546109528.0;1;3140623;1.0;2
2;;1900;60.0;Kazan;139;1.0;Russia;;1.0;1545848976.0;0;;;2
2;16.tammi;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546102929.0;0;;;2
2;25.joulu;2018;60.0;Kazan;139;1.0;Russia;;1.0;1540182676.0;0;;;2
2;15.loka;2018;60.0;Kazan;139;1.0;Russia;;2.0;1546109568.0;1;3140623;1.0;2
2;9.4.1997;1997;60.0;Kazan;139;1.0;Russia;;4.0;1460693486.0;0;;;2
2;21.7.1994;1994;60.0;Kazan;139;1.0;Russia;;4.0;1546099063.0;0;;;2
2;22.8.1995;1995;60.0;Kazan;139;1.0;Russia;;7.0;1367577408.0;0;;;1
2;28.elo;2018;60.0;Kazan;139;1.0;Russia;;1.0;1546106633.0;0;;;2
2;22.maalis;2018;60.0;Kazan;139;1.0;Russia;;7.0;1379574495.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;4.0;1546093049.0;0;;;2
2;7.10.1994;1994;60.0;Kazan;139;1.0;Russia;;4.0;1546091130.0;0;;;2
2;19.helmi;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546109755.0;1;2274003;1.0;2
2;;1900;60.0;Kazan;139;1.0;Russia;;4.0;1546100946.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;4.0;1546029426.0;0;;;2
2;4.syys;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546104804.0;0;;;2
2;8.marras;2018;60.0;Kazan;139;1.0;Russia;;1.0;1446281488.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1534991322.0;0;;;2
2;22.heinä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1416130865.0;0;;;1
2;11.11.1997;1997;60.0;Kazan;139;1.0;Russia;;7.0;1482073446.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1509300265.0;0;;;2
2;7.11.1981;1981;60.0;Kazan;139;1.0;Russia;;1.0;1545997012.0;0;;;2
2;27.2.2001;2001;60.0;Kazan;139;1.0;Russia;;4.0;1502545244.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1365788448.0;0;;;2
2;8.huhti;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546108558.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1484589774.0;0;;;2
2;28.helmi;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546106970.0;0;;;2
2;2.joulu;2018;60.0;Kazan;139;1.0;Russia;;7.0;1370715129.0;0;;;2
2;20.2.1988;1988;60.0;Kazan;139;1.0;Russia;;7.0;1535735438.0;0;;;2
2;3.maalis;2018;60.0;Kazan;139;1.0;Russia;;7.0;1376391981.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1495544972.0;0;;;2
2;17.syys;2018;60.0;Kazan;139;1.0;Russia;;7.0;1546105171.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1433318077.0;0;;;2
2;13.11.1997;1997;60.0;Kazan;139;1.0;Russia;;7.0;1371971105.0;0;;;2
2;15.helmi;2018;60.0;Kazan;139;1.0;Russia;;7.0;1379146724.0;0;;;2
2;20.touko;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546013986.0;0;;;1
2;10.12.1999;1999;60.0;Kazan;139;1.0;Russia;;4.0;1546105927.0;0;;;2
2;2.3.1995;1995;60.0;Kazan;139;1.0;Russia;;7.0;1391076327.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1438612452.0;0;;;1
2;7.elo;2018;60.0;Kazan;139;1.0;Russia;;7.0;1387362483.0;0;;;1
2;1.tammi;2018;60.0;Kazan;139;1.0;Russia;;7.0;1546102472.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1443546024.0;0;;;2
2;3.6.1989;1989;60.0;Kazan;139;1.0;Russia;;7.0;1535735572.0;0;;;2
2;11.3.1995;1995;60.0;Kazan;139;1.0;Russia;;7.0;1491631310.0;0;;;1
2;6.2.1988;1988;60.0;Kazan;139;1.0;Russia;;7.0;1373637512.0;0;;;1
2;16.heinä;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546104797.0;0;;;2
2;13.5.1978;1978;60.0;Kazan;139;1.0;Russia;;4.0;1546109748.0;1;2274003;1.0;1
2;4.10.1999;1999;60.0;Kazan;139;1.0;Russia;;7.0;1428065764.0;0;;;2
2;25.11.1974;1974;60.0;Kazan;139;1.0;Russia;;4.0;1404371860.0;0;;;1
2;6.touko;2018;60.0;Kazan;139;1.0;Russia;;1.0;1388322483.0;0;;;2
2;2.11.1991;1991;60.0;Kazan;139;1.0;Russia;;7.0;1388739579.0;0;;;2
2;27.syys;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546105157.0;0;;;1
2;20.8.1982;1982;60.0;Kazan;139;1.0;Russia;;4.0;1439490075.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1388751665.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1364072309.0;0;;;2
2;1.2.1993;1993;60.0;Kazan;139;1.0;Russia;;7.0;1389927288.0;0;;;2
2;22.7.1986;1986;60.0;Kazan;139;1.0;Russia;;7.0;1431361519.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1410813435.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;1.0;1531427254.0;0;;;1
2;5.loka;2018;60.0;Kazan;139;1.0;Russia;;7.0;1483207796.0;0;;;2
2;12.loka;2018;60.0;Kazan;139;1.0;Russia;;7.0;1385215958.0;0;;;2
2;8.5.1991;1991;60.0;Kazan;139;1.0;Russia;;7.0;1483916275.0;0;;;2
2;17.maalis;2018;60.0;Kazan;139;1.0;Russia;;7.0;1368112819.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;1.0;1531427286.0;0;;;1
2;2.7.1988;1988;60.0;Kazan;139;1.0;Russia;;7.0;1448819614.0;0;;;2
2;19.huhti;2018;60.0;Kazan;139;1.0;Russia;;7.0;1416944672.0;0;;;2
2;16.8.1998;1998;60.0;Kazan;139;1.0;Russia;;7.0;1371921960.0;0;;;2
2;14.12.1991;1991;60.0;Kazan;139;1.0;Russia;;1.0;1429534396.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1364130437.0;0;;;1
2;4.6.1992;1992;60.0;Kazan;139;1.0;Russia;;7.0;1389588544.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;1.0;1531426897.0;0;;;1
2;15.9.1991;1991;60.0;Kazan;139;1.0;Russia;;7.0;1365765875.0;0;;;1
2;5.5.1992;1992;60.0;Kazan;139;1.0;Russia;;1.0;1488053534.0;0;;;2
2;4.5.1989;1989;60.0;Kazan;139;1.0;Russia;;7.0;1431783927.0;0;;;2
2;22.2.1905;1905;60.0;Kazan;139;1.0;Russia;;7.0;1388034440.0;0;;;2
2;17.6.1981;1981;60.0;Kazan;139;1.0;Russia;;7.0;1385744793.0;0;;;2
2;12.9.1934;1934;60.0;Kazan;139;1.0;Russia;;7.0;1380305653.0;0;;;2
2;26.helmi;2018;60.0;Kazan;139;1.0;Russia;;7.0;1385717811.0;0;;;1
2;30.huhti;2018;60.0;Kazan;139;1.0;Russia;;7.0;1428104642.0;0;;;1
2;7.touko;2018;60.0;Kazan;139;1.0;Russia;;1.0;1531427250.0;0;;;1
2;3.touko;2018;60.0;Kazan;139;1.0;Russia;;7.0;1378457907.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1396123690.0;0;;;2
2;;1900;60.0;Kazan;139;1.0;Russia;;4.0;1492716299.0;0;;;2
2;18.4.1987;1987;60.0;Kazan;139;1.0;Russia;;7.0;1444665917.0;0;;;1
2;7.5.1997;1997;60.0;Kazan;139;1.0;Russia;;7.0;1369160955.0;0;;;2
2;2.tammi;2018;60.0;Kazan;139;1.0;Russia;;7.0;1391628297.0;0;;;2
2;3.5.1980;1980;60.0;Kazan;139;1.0;Russia;;7.0;1401884552.0;0;;;2
2;9.kesä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1382733289.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;7.0;1377766249.0;0;;;2
2;4.kesä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1383919958.0;0;;;1
2;2.5.1968;1968;60.0;Kazan;139;1.0;Russia;;7.0;1373549357.0;0;;;2
2;4.5.1989;1989;60.0;Kazan;139;1.0;Russia;;7.0;1380973447.0;0;;;2
2;9.heinä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1416786596.0;0;;;1
2;18.kesä;2018;60.0;Kazan;139;1.0;Russia;;7.0;1546106880.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;4.0;1546043494.0;0;;;1
2;12.tammi;2018;60.0;Kazan;139;1.0;Russia;;4.0;1546087883.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;1.0;1546061180.0;0;;;1
2;;1900;60.0;Kazan;139;1.0;Russia;;2.0;1503738529.0;0;;;1
